Epoch,Value
0,919.65
1,889.4
2,889.4
3,859.47
4,840.57
5,822.27
6,822.27
7,792.32
8,750.68
9,750.68
10,727.66
11,724.54
12,724.54
13,724.54
14,711.01
15,711.01
16,704.65
17,704.65
18,673.42
19,673.42
20,673.42
21,673.42
22,673.42
23,655.07
24,648.82
25,648.82
26,648.26
27,617.6
28,617.6
29,617.6
30,617.6
31,610.6
32,610.6
33,610.6
34,595.01
35,595.01
36,592.43
37,592.43
38,592.43
39,592.43
40,592.43
41,589.28
42,589.28
43,589.28
44,583.57
45,578.98
46,578.98
47,578.98
48,578.98
49,578.98
50,578.98
51,578.98
52,578.98
53,578.98
54,578.98
55,578.98
56,578.98
57,578.98
58,578.98
59,578.98
60,578.98
61,578.98
62,578.98
63,578.98
64,578.98
65,578.98
66,578.98
67,573.96
68,560.44
69,560.44
70,560.44
71,524.04
72,524.04
73,524.04
74,524.04
75,524.04
76,524.04
77,524.04
78,524.04
79,524.04
80,524.04
81,524.04
82,524.04
83,524.04
84,524.04
85,524.04
86,524.04
87,524.04
88,524.04
89,524.04
90,524.04
91,524.04
92,524.04
93,524.04
94,524.04
95,524.04
96,524.04
97,524.04
98,524.04
99,524.04
100,524.04
101,524.04
102,524.04
103,524.04
104,524.04
105,524.04
106,524.04
107,524.04
108,524.04
109,524.04
110,524.04
111,524.04
112,524.04
113,524.04
114,524.04
115,524.04
116,524.04
117,524.04
118,524.04
119,524.04
120,524.04
121,524.04
122,524.04
123,524.04
124,524.04
125,524.04
126,524.04
127,524.04
128,524.04
129,524.04
130,524.04
131,524.04
132,524.04
133,524.04
134,524.04
135,524.04
136,524.04
137,524.04
138,524.04
139,524.04
140,524.04
141,524.04
142,524.04
143,524.04
144,524.04
145,524.04
146,524.04
147,524.04
148,524.04
149,524.04
150,524.04
151,524.04
152,524.04
153,524.04
154,524.04
155,524.04
156,524.04
157,524.04
158,524.04
159,524.04
160,524.04
161,524.04
162,524.04
163,524.04
164,524.04
165,524.04
166,524.04
167,524.04
168,524.04
169,524.04
170,524.04
171,524.04
172,524.04
173,524.04
174,524.04
175,524.04
176,524.04
177,524.04
178,524.04
179,524.04
180,524.04
181,524.04
182,524.04
183,524.04
184,524.04
185,524.04
186,524.04
187,524.04
188,524.04
189,524.04
190,524.04
191,524.04
192,524.04
193,524.04
194,524.04
195,524.04
196,524.04
197,524.04
198,524.04
199,524.04
200,524.04
201,524.04
202,524.04
203,524.04
204,524.04
205,524.04
206,524.04
207,524.04
208,524.04
209,524.04
210,524.04
211,524.04
212,524.04
213,524.04
214,524.04
215,524.04
216,524.04
217,524.04
218,524.04
219,524.04
220,524.04
221,524.04
222,524.04
223,524.04
224,524.04
225,524.04
226,524.04
227,524.04
228,524.04
