Epoch,Value
0,2667.79
1,2576.36
2,2576.36
3,2525.73
4,2516.85
5,2454.66
6,2416.69
7,2375.08
8,2375.08
9,2375.08
10,2367.4
11,2345.9
12,2345.9
13,2304.71
14,2285.15
15,2275.08
16,2275.08
17,2275.08
18,2275.08
19,2275.08
20,2265.96
21,2264.21
22,2255.22
23,2245.76
24,2224.94
25,2224.94
26,2214.27
27,2214.27
28,2204.5
29,2204.5
30,2204.5
31,2204.5
32,2204.5
33,2204.5
34,2195.11
35,2195.11
36,2195.11
37,2194.9
38,2194.9
39,2194.9
40,2194.9
41,2194.9
42,2194.9
43,2164.34
44,2164.34
45,2164.34
46,2164.34
47,2164.34
48,2164.34
49,2164.34
50,2164.34
51,2164.34
52,2164.34
53,2153.76
54,2153.76
55,2153.76
56,2153.76
57,2153.76
58,2143.66
59,2143.66
60,2143.66
61,2143.66
62,2143.66
63,2143.66
64,2143.66
65,2143.66
66,2143.66
67,2143.63
68,2143.63
69,2143.63
70,2133.96
71,2133.96
72,2133.96
73,2133.96
74,2133.96
75,2133.96
76,2133.96
77,2133.96
78,2133.96
79,2133.96
80,2133.96
81,2133.96
82,2133.96
83,2133.96
84,2133.96
85,2133.96
86,2133.96
87,2133.96
88,2133.96
89,2133.96
90,2133.96
91,2133.96
92,2133.31
93,2133.31
94,2133.31
95,2133.31
96,2133.31
97,2133.31
98,2133.31
99,2133.31
100,2133.31
101,2133.31
102,2133.31
103,2133.31
104,2133.31
105,2133.31
106,2133.31
107,2123.36
108,2123.36
109,2123.36
110,2123.36
111,2123.36
112,2123.36
113,2123.36
114,2123.36
115,2123.36
116,2123.36
117,2123.36
118,2123.36
119,2123.36
120,2123.36
121,2123.36
122,2123.36
123,2123.36
124,2123.36
125,2123.36
126,2123.36
127,2112.96
128,2112.96
129,2112.96
130,2102.26
131,2102.26
132,2102.26
133,2102.26
134,2102.26
135,2102.26
136,2102.26
137,2102.26
138,2102.26
139,2102.26
140,2102.26
141,2102.26
142,2102.26
143,2102.26
144,2102.26
145,2102.26
146,2102.26
147,2102.26
148,2102.26
149,2102.26
150,2102.26
151,2102.26
152,2102.26
153,2102.26
154,2102.26
155,2091.79
156,2091.79
157,2091.79
158,2091.79
159,2091.79
160,2091.79
161,2091.79
162,2091.79
163,2091.79
164,2091.79
165,2091.79
166,2091.79
167,2091.79
168,2091.79
169,2091.79
170,2091.79
171,2091.79
172,2091.79
173,2091.79
174,2091.79
175,2091.79
176,2091.79
177,2091.79
178,2091.79
179,2091.79
180,2091.79
181,2091.79
182,2091.79
183,2091.79
184,2091.79
185,2072.01
186,2072.01
187,2072.01
188,2072.01
189,2072.01
190,2072.01
191,2072.01
192,2072.01
193,2072.01
194,2072.01
195,2072.01
196,2072.01
197,2072.01
198,2072.01
199,2072.01
200,2072.01
201,2072.01
202,2072.01
203,2072.01
204,2072.01
205,2072.01
206,2072.01
207,2072.01
208,2072.01
209,2072.01
210,2072.01
211,2072.01
212,2072.01
213,2072.01
214,2072.01
215,2072.01
216,2072.01
217,2072.01
218,2072.01
219,2072.01
220,2072.01
221,2072.01
222,2072.01
223,2072.01
224,2072.01
225,2072.01
226,2072.01
227,2072.01
228,2072.01
229,2072.01
230,2072.01
231,2072.01
232,2072.01
233,2072.01
234,2072.01
235,2072.01
236,2072.01
237,2072.01
238,2072.01
239,2072.01
240,2072.01
241,2072.01
242,2072.01
243,2072.01
244,2072.01
245,2072.01
246,2072.01
247,2072.01
248,2072.01
249,2072.01
250,2072.01
251,2072.01
252,2072.01
253,2072.01
254,2072.01
255,2072.01
256,2072.01
257,2072.01
258,2072.01
259,2072.01
260,2072.01
261,2072.01
262,2072.01
263,2072.01
264,2072.01
265,2072.01
266,2072.01
267,2072.01
268,2072.01
269,2072.01
270,2072.01
271,2072.01
272,2072.01
273,2072.01
274,2072.01
275,2072.01
276,2072.01
277,2072.01
278,2072.01
279,2072.01
280,2072.01
281,2072.01
282,2072.01
283,2072.01
284,2072.01
285,2072.01
286,2072.01
287,2072.01
288,2072.01
289,2072.01
290,2072.01
291,2072.01
292,2072.01
293,2072.01
294,2072.01
295,2072.01
296,2072.01
297,2072.01
298,2072.01
299,2072.01
300,2072.01
301,2072.01
302,2072.01
303,2072.01
304,2072.01
305,2072.01
306,2072.01
307,2072.01
308,2072.01
309,2072.01
310,2072.01
311,2072.01
312,2072.01
313,2072.01
314,2072.01
315,2072.01
316,2072.01
317,2072.01
318,2072.01
319,2072.01
320,2072.01
321,2072.01
322,2072.01
323,2072.01
324,2072.01
325,2072.01
326,2072.01
327,2072.01
328,2072.01
329,2072.01
330,2072.01
331,2072.01
332,2072.01
333,2072.01
334,2072.01
335,2072.01
336,2072.01
337,2072.01
338,2072.01
339,2072.01
340,2072.01
341,2072.01
342,2072.01
343,2072.01
344,2072.01
345,2072.01
346,2072.01
347,2072.01
348,2072.01
349,2072.01
350,2072.01
351,2072.01
352,2072.01
353,2072.01
354,2072.01
355,2072.01
356,2072.01
357,2072.01
358,2072.01
359,2072.01
360,2072.01
361,2072.01
362,2072.01
363,2072.01
364,2071.85
365,2071.85
366,2071.85
367,2071.85
368,2071.85
369,2071.85
370,2071.85
371,2071.85
372,2071.85
373,2071.85
374,2071.85
375,2071.85
376,2071.85
377,2071.85
378,2071.85
379,2071.85
380,2071.85
381,2071.85
382,2071.85
383,2071.85
384,2071.85
385,2071.85
386,2071.85
387,2071.85
388,2071.85
389,2071.85
390,2071.85
391,2071.85
392,2071.85
393,2071.85
394,2071.85
395,2071.85
396,2071.85
397,2071.85
398,2071.85
399,2071.85
400,2071.85
401,2071.85
402,2071.85
403,2071.85
404,2071.85
405,2071.85
406,2071.85
407,2071.85
408,2071.85
409,2071.85
410,2071.85
411,2071.85
412,2071.85
413,2071.85
414,2071.85
415,2071.85
416,2071.85
417,2071.85
418,2071.85
419,2071.85
420,2071.85
421,2071.85
422,2071.85
423,2071.85
424,2071.85
425,2071.85
426,2071.85
427,2071.85
428,2071.85
429,2071.85
430,2071.85
431,2071.85
432,2071.85
433,2071.85
434,2071.85
435,2071.85
436,2071.85
437,2071.85
438,2071.85
439,2071.85
440,2071.85
441,2071.85
442,2071.85
443,2071.85
444,2071.85
445,2071.85
446,2061.75
447,2061.75
448,2061.75
449,2061.75
450,2061.75
451,2061.75
452,2061.75
453,2061.75
454,2061.75
455,2061.75
456,2061.75
457,2061.75
458,2061.75
459,2061.75
460,2061.75
461,2061.75
462,2061.75
463,2061.75
464,2061.75
465,2061.75
466,2061.75
467,2061.75
468,2061.75
469,2061.75
470,2061.75
471,2061.75
472,2061.75
473,2061.75
474,2061.75
475,2061.75
476,2061.75
477,2061.75
478,2061.75
479,2061.75
480,2061.75
481,2061.75
482,2061.75
483,2061.75
484,2061.75
485,2061.75
486,2061.75
487,2061.75
488,2061.75
489,2061.75
490,2061.75
491,2061.75
492,2061.75
493,2061.75
494,2061.75
495,2061.75
496,2061.75
497,2061.75
498,2061.75
499,2061.75
500,2061.75
501,2061.75
502,2061.75
503,2061.75
504,2061.75
505,2061.75
506,2061.75
507,2061.75
508,2061.75
509,2061.75
510,2061.75
511,2061.75
512,2061.75
513,2061.75
514,2061.75
515,2061.75
516,2061.75
517,2061.75
518,2061.75
519,2061.75
520,2061.75
521,2061.75
522,2061.75
523,2061.75
524,2061.75
525,2061.75
526,2061.75
527,2061.75
528,2061.75
529,2061.75
530,2061.75
531,2061.75
532,2061.75
533,2061.75
534,2061.75
535,2061.75
536,2061.75
537,2061.75
538,2061.75
539,2061.75
540,2061.75
541,2061.75
542,2061.75
543,2061.75
544,2061.75
545,2061.75
546,2061.75
547,2061.75
548,2061.75
549,2061.75
550,2061.75
551,2061.75
552,2061.75
553,2061.75
554,2061.75
555,2061.75
556,2061.75
557,2061.75
558,2061.75
559,2061.75
560,2061.75
561,2061.75
562,2061.75
563,2061.75
564,2061.75
565,2061.75
566,2061.75
567,2061.75
568,2061.75
569,2061.75
570,2061.75
571,2061.75
572,2061.75
573,2061.75
574,2061.75
575,2061.75
576,2061.75
577,2061.75
578,2061.75
579,2061.75
580,2061.75
581,2061.75
582,2061.75
583,2061.75
584,2061.75
585,2061.75
586,2061.75
587,2061.75
588,2061.75
589,2061.75
590,2061.75
591,2061.75
592,2061.75
593,2061.75
594,2061.75
595,2061.75
596,2061.75
597,2061.75
598,2061.75
599,2061.75
600,2061.75
601,2061.75
602,2061.75
603,2061.75
604,2061.75
605,2061.75
606,2061.75
607,2061.75
608,2061.75
609,2061.75
610,2061.75
611,2061.75
612,2061.75
613,2061.75
614,2061.75
615,2061.75
616,2061.75
617,2061.75
618,2061.75
619,2061.75
620,2061.75
621,2061.75
622,2061.75
623,2061.75
624,2061.75
625,2061.75
626,2061.75
627,2061.75
628,2061.75
629,2061.75
630,2061.75
631,2061.75
632,2061.75
633,2061.75
634,2061.75
635,2061.75
636,2061.75
637,2061.75
638,2061.75
639,2061.75
640,2061.75
641,2061.75
642,2061.75
643,2061.75
644,2061.75
645,2061.75
646,2061.75
647,2061.75
648,2061.75
649,2061.75
650,2061.75
651,2061.75
652,2061.75
653,2061.75
654,2061.75
655,2061.75
656,2061.75
657,2061.75
658,2061.75
659,2061.75
660,2061.75
661,2061.75
662,2061.75
663,2061.75
664,2061.75
665,2061.75
666,2061.75
667,2061.75
668,2061.75
669,2061.75
670,2061.75
671,2061.75
672,2061.75
673,2061.75
674,2061.75
675,2061.75
676,2061.75
677,2061.75
678,2061.75
679,2061.75
680,2061.75
681,2061.75
682,2061.75
683,2061.75
684,2061.75
685,2061.75
686,2061.75
687,2061.75
688,2061.75
689,2061.75
690,2061.75
691,2061.75
692,2061.75
693,2061.75
694,2061.75
695,2061.75
696,2061.75
697,2061.75
698,2061.75
699,2061.75
700,2061.75
701,2061.75
702,2061.75
703,2061.75
704,2061.75
705,2061.75
706,2061.75
707,2061.75
708,2061.75
709,2061.75
710,2061.75
711,2061.75
712,2061.75
713,2061.75
714,2061.75
715,2061.75
716,2061.75
717,2061.75
718,2061.75
719,2061.75
720,2061.75
721,2061.75
722,2061.75
723,2061.75
724,2061.75
725,2061.75
726,2061.75
727,2061.75
728,2061.75
729,2061.75
730,2061.75
731,2061.75
732,2061.75
733,2061.75
734,2061.75
735,2061.75
736,2061.75
737,2061.75
738,2061.75
739,2061.75
740,2061.75
741,2061.75
742,2061.75
743,2061.75
744,2061.75
745,2061.75
746,2061.75
747,2061.75
748,2061.75
749,2061.75
750,2061.75
751,2061.75
752,2061.75
753,2061.75
754,2061.75
755,2061.75
756,2061.75
757,2061.75
758,2061.75
759,2061.75
760,2061.75
761,2061.75
762,2061.75
763,2061.75
764,2061.75
765,2061.75
766,2061.75
767,2061.75
768,2061.75
769,2061.75
770,2061.75
771,2061.75
772,2061.75
773,2061.75
774,2061.75
775,2061.75
776,2061.75
777,2061.75
778,2061.75
779,2061.75
780,2061.75
781,2061.75
782,2061.75
783,2061.75
784,2061.75
785,2061.75
786,2061.75
787,2061.75
788,2061.75
789,2061.75
790,2061.75
791,2061.75
792,2061.75
793,2061.75
794,2061.75
795,2061.75
796,2061.75
797,2061.75
798,2061.75
799,2061.75
800,2061.75
801,2061.75
802,2061.75
803,2061.75
804,2061.75
805,2061.75
806,2061.75
807,2061.75
808,2061.75
809,2061.75
810,2061.75
811,2061.75
812,2061.75
813,2061.75
814,2061.75
815,2061.75
816,2061.75
817,2061.75
818,2061.75
819,2061.75
820,2061.75
821,2061.75
822,2061.75
823,2061.75
824,2061.75
825,2061.75
826,2061.75
827,2061.75
828,2061.75
829,2061.75
830,2061.75
831,2061.75
832,2061.75
833,2061.75
834,2061.75
835,2061.75
836,2061.75
837,2061.75
838,2061.75
839,2061.75
840,2061.75
841,2061.75
842,2061.75
843,2061.75
844,2061.75
845,2061.75
846,2061.75
847,2061.75
848,2061.75
849,2061.75
850,2061.75
851,2061.75
852,2061.75
853,2061.75
854,2061.75
855,2061.75
856,2061.75
857,2061.75
858,2061.75
859,2061.75
860,2061.75
861,2061.75
862,2061.75
863,2061.75
864,2061.75
865,2061.75
866,2061.75
867,2061.75
868,2061.75
869,2061.75
870,2061.75
871,2061.75
872,2061.75
873,2061.75
874,2061.75
875,2061.75
876,2061.75
877,2061.75
878,2061.75
879,2061.75
880,2061.75
881,2061.75
882,2061.75
883,2061.75
884,2061.75
885,2061.75
886,2061.75
887,2061.75
888,2061.75
889,2061.75
890,2061.75
891,2061.75
892,2061.75
893,2061.75
894,2061.75
895,2061.75
896,2061.75
897,2061.75
898,2061.75
899,2061.75
900,2061.75
901,2061.75
902,2061.75
903,2061.75
904,2061.75
905,2061.75
906,2061.75
907,2061.75
908,2061.75
909,2061.75
910,2061.75
911,2061.75
912,2061.75
913,2061.75
914,2061.75
915,2061.75
916,2061.75
917,2061.75
918,2061.75
