Epoch,Value
0,912.93
1,901.03
2,870.25
3,839.27
4,812.51
5,791.08
6,791.08
7,788.0
8,788.0
9,763.38
10,761.81
11,756.36
12,724.67
13,724.67
14,724.67
15,694.54
16,694.54
17,688.23
18,688.23
19,688.23
20,688.23
21,679.87
22,660.29
23,638.99
24,638.99
25,638.99
26,638.99
27,638.99
28,638.76
29,633.61
30,632.47
31,621.97
32,621.97
33,621.97
34,621.97
35,621.97
36,621.41
37,621.41
38,621.41
39,615.71
40,615.71
41,604.49
42,593.51
43,593.51
44,593.51
45,593.51
46,593.51
47,593.51
48,593.51
49,593.51
50,593.51
51,593.51
52,593.51
53,593.51
54,593.51
55,593.51
56,593.51
57,587.51
58,587.51
59,587.51
60,587.51
61,587.51
62,587.51
63,587.51
64,559.09
65,559.09
66,559.09
67,559.09
68,559.09
69,559.09
70,559.09
71,559.09
72,559.09
73,559.09
74,559.09
75,559.09
76,553.64
77,553.64
78,553.64
79,553.64
80,553.64
81,553.64
82,553.64
83,553.64
84,553.64
85,553.64
86,553.64
87,553.64
88,553.64
89,553.64
90,553.64
91,553.64
92,553.64
93,553.64
94,553.64
95,553.64
96,553.64
97,553.64
98,553.64
99,540.67
100,540.67
101,540.67
102,540.67
103,540.67
104,540.67
105,540.67
106,540.67
107,540.67
108,540.67
109,540.67
110,540.67
111,540.67
112,540.67
113,540.67
114,540.67
115,540.67
116,540.67
117,540.67
118,540.67
119,540.67
120,540.67
121,540.67
122,540.67
123,540.67
124,540.67
125,540.67
126,540.67
127,540.67
128,540.67
129,540.67
130,540.67
131,540.67
132,540.67
133,540.67
134,540.67
135,537.51
136,537.51
137,533.94
138,533.94
139,533.94
140,533.94
141,533.94
142,533.94
143,533.94
144,533.94
145,533.94
146,533.94
147,533.94
148,533.94
149,533.94
150,533.94
151,533.94
152,533.94
153,533.94
154,533.94
155,533.94
156,533.94
157,533.94
158,533.94
159,533.94
160,533.94
161,533.94
162,533.94
163,533.94
164,533.94
165,533.94
166,533.94
167,533.94
168,533.94
169,526.84
170,526.84
171,526.84
172,526.84
173,526.84
174,526.84
175,526.84
176,526.84
177,526.84
178,526.84
179,526.84
180,526.84
181,526.84
182,526.84
183,526.84
184,526.84
185,526.84
186,526.84
187,526.84
188,526.84
189,526.84
190,526.84
191,526.84
192,526.84
193,526.84
194,526.84
195,526.84
196,526.84
197,525.73
198,525.73
199,525.73
200,524.97
201,524.97
202,524.97
203,524.97
204,524.97
205,524.97
206,524.97
207,524.97
208,524.97
209,524.97
210,524.97
211,524.97
212,524.97
213,524.97
214,524.97
215,524.97
216,524.97
217,524.97
218,524.97
219,524.97
220,524.97
221,524.97
222,524.97
223,524.97
224,524.97
225,524.97
226,521.41
227,521.41
228,521.41
229,521.41
230,521.41
231,521.41
232,521.41
233,521.41
234,521.41
235,521.41
236,521.41
237,521.41
238,514.73
239,514.73
240,514.73
241,514.73
242,514.73
243,514.73
244,514.73
245,514.73
246,514.73
247,514.73
248,514.73
249,514.73
250,514.73
251,514.73
252,514.73
253,514.73
254,514.73
255,514.73
256,514.73
257,514.73
258,514.73
259,514.73
260,514.73
261,514.73
262,514.73
263,514.73
264,514.73
265,514.73
266,514.73
267,514.73
268,514.73
269,514.73
270,514.73
271,514.73
272,514.73
273,514.73
274,514.73
275,514.73
276,514.73
277,514.73
278,514.73
279,514.73
