population;mutation factor;crossover chance;selection;succession;crossover mode;score
1;0.5218804726414918;0.48508538304511206;rand;best;vert-slice;894.8731962491513
1;0.5218804726414918;0.48508538304511206;rand;best;vert-slice;937.8902735099376
1;0.5218804726414918;0.48508538304511206;rand;best;vert-slice;881.9125711618503
1;0.5218804726414918;0.48508538304511206;rand;best;vert-slice;935.7690894690253
1;0.5218804726414918;0.48508538304511206;rand;best;vert-slice;933.6649792871231
1;0.5218804726414918;0.48508538304511206;rand;best;vert-slice;931.1181896891752
1;0.5218804726414918;0.48508538304511206;rand;best;vert-slice;978.9719992502316
1;0.5218804726414918;0.48508538304511206;rand;best;vert-slice;904.8000388781545
1;0.5218804726414918;0.48508538304511206;rand;best;vert-slice;928.1283947910042
1;0.5218804726414918;0.48508538304511206;rand;best;vert-slice;937.9055353140881
1;0.5218804726414918;0.48508538304511206;rand;best;vert-slice;905.2821203846131
1;0.5218804726414918;0.48508538304511206;rand;best;vert-slice;891.4008877908818
1;0.5218804726414918;0.48508538304511206;rand;best;vert-slice;969.3528655927962
1;0.5218804726414918;0.48508538304511206;rand;best;vert-slice;866.2843316332632
1;0.5218804726414918;0.48508538304511206;rand;best;vert-slice;932.0658395127186
1;0.5218804726414918;0.48508538304511206;rand;best;vert-slice;904.9358279551301
1;0.5218804726414918;0.48508538304511206;rand;best;vert-slice;922.0570212836811
1;0.5218804726414918;0.48508538304511206;rand;best;vert-slice;925.4451988316573
1;0.5218804726414918;0.48508538304511206;rand;best;vert-slice;927.017264492133
1;0.5218804726414918;0.48508538304511206;rand;best;vert-slice;925.511123725628
1;0.5218804726414918;0.48508538304511206;rand;best;vert-slice;912.1527902208013
1;0.5218804726414918;0.48508538304511206;rand;best;vert-slice;898.8111795102919
1;0.5218804726414918;0.48508538304511206;rand;best;vert-slice;910.9845488901123
1;0.5218804726414918;0.48508538304511206;rand;best;vert-slice;932.3114320170008
1;0.5218804726414918;0.48508538304511206;rand;best;vert-slice;908.3158535278935
1;0.5218804726414918;0.48508538304511206;rand;best;vert-slice;938.9343446681497
1;0.5218804726414918;0.48508538304511206;rand;best;vert-slice;927.257079766421
18;0.33128238455282966;0.43144503435637416;exp;tourny;avg;801.301803433054
18;0.33128238455282966;0.43144503435637416;exp;tourny;avg;825.5009010594418
18;0.33128238455282966;0.43144503435637416;exp;tourny;avg;786.1096009078708
18;0.33128238455282966;0.43144503435637416;exp;tourny;avg;831.6298758966224
18;0.33128238455282966;0.43144503435637416;exp;tourny;avg;839.0903125140665
18;0.33128238455282966;0.43144503435637416;exp;tourny;avg;801.7709308433083
18;0.33128238455282966;0.43144503435637416;exp;tourny;avg;805.0472924496773
18;0.33128238455282966;0.43144503435637416;exp;tourny;avg;809.3937355761216
18;0.33128238455282966;0.43144503435637416;exp;tourny;avg;808.4303426630815
18;0.33128238455282966;0.43144503435637416;exp;tourny;avg;806.6407128216578
18;0.33128238455282966;0.43144503435637416;exp;tourny;avg;783.1623982885463
18;0.33128238455282966;0.43144503435637416;exp;tourny;avg;804.4144381845219
18;0.33128238455282966;0.43144503435637416;exp;tourny;avg;783.8400248333836
18;0.33128238455282966;0.43144503435637416;exp;tourny;avg;821.0499434552495
18;0.33128238455282966;0.43144503435637416;exp;tourny;avg;806.1008887462904
18;0.33128238455282966;0.43144503435637416;exp;tourny;avg;812.9383555336183
18;0.33128238455282966;0.43144503435637416;exp;tourny;avg;818.9661075339646
18;0.33128238455282966;0.43144503435637416;exp;tourny;avg;820.8517849903343
18;0.33128238455282966;0.43144503435637416;exp;tourny;avg;779.6410728949978
18;0.33128238455282966;0.43144503435637416;exp;tourny;avg;800.3284125812468
18;0.33128238455282966;0.43144503435637416;exp;tourny;avg;803.6334370661043
18;0.33128238455282966;0.43144503435637416;exp;tourny;avg;839.0870750238553
18;0.33128238455282966;0.43144503435637416;exp;tourny;avg;807.9176470052643
18;0.33128238455282966;0.43144503435637416;exp;tourny;avg;814.9874261591249
18;0.33128238455282966;0.43144503435637416;exp;tourny;avg;814.5858010930457
18;0.33128238455282966;0.43144503435637416;exp;tourny;avg;817.5470505468952
18;0.33128238455282966;0.43144503435637416;exp;tourny;avg;780.8806228002228
18;0.33128238455282966;0.43144503435637416;exp;tourny;avg;789.6562029273496
18;0.33128238455282966;0.43144503435637416;exp;tourny;avg;806.5063357538352
18;0.33128238455282966;0.43144503435637416;exp;tourny;avg;810.4058404315429
5;0.682546735602984;0.9777483885090303;rand;tourny;hor-slice;803.4961908044596
5;0.682546735602984;0.9777483885090303;rand;tourny;hor-slice;804.3089940198787
5;0.682546735602984;0.9777483885090303;rand;tourny;hor-slice;796.157239531778
5;0.682546735602984;0.9777483885090303;rand;tourny;hor-slice;792.6617997947209
5;0.682546735602984;0.9777483885090303;rand;tourny;hor-slice;809.9454818331774
5;0.682546735602984;0.9777483885090303;rand;tourny;hor-slice;786.8758065486707
5;0.682546735602984;0.9777483885090303;rand;tourny;hor-slice;798.8800430394236
5;0.682546735602984;0.9777483885090303;rand;tourny;hor-slice;805.5683481589524
5;0.682546735602984;0.9777483885090303;rand;tourny;hor-slice;801.2628834166369
5;0.682546735602984;0.9777483885090303;rand;tourny;hor-slice;775.3440335232707
5;0.682546735602984;0.9777483885090303;rand;tourny;hor-slice;785.3717929411715
5;0.682546735602984;0.9777483885090303;rand;tourny;hor-slice;791.1940781109797
5;0.682546735602984;0.9777483885090303;rand;tourny;hor-slice;812.0352144734868
5;0.682546735602984;0.9777483885090303;rand;tourny;hor-slice;791.6179367409669
5;0.682546735602984;0.9777483885090303;rand;tourny;hor-slice;794.9974944394165
5;0.682546735602984;0.9777483885090303;rand;tourny;hor-slice;776.0241253204837
5;0.682546735602984;0.9777483885090303;rand;tourny;hor-slice;785.2353305785148
5;0.682546735602984;0.9777483885090303;rand;tourny;hor-slice;793.9398475702752
5;0.682546735602984;0.9777483885090303;rand;tourny;hor-slice;778.8898497727523
