population;mutation factor;crossover chance;selection;succession;crossover mode;score
1;0.6731171219152886;0.3644975369617818;rand;best;hor-slice;991.52
1;0.6731171219152886;0.3644975369617818;rand;best;hor-slice;956.25
1;0.6731171219152886;0.3644975369617818;rand;best;hor-slice;955.04
1;0.6731171219152886;0.3644975369617818;rand;best;hor-slice;1001.88
1;0.6731171219152886;0.3644975369617818;rand;best;hor-slice;932.45
1;0.6731171219152886;0.3644975369617818;rand;best;hor-slice;1002.69
1;0.6731171219152886;0.3644975369617818;rand;best;hor-slice;960.71
1;0.6731171219152886;0.3644975369617818;rand;best;hor-slice;979.5
1;0.6731171219152886;0.3644975369617818;rand;best;hor-slice;1017.7
1;0.6731171219152886;0.3644975369617818;rand;best;hor-slice;968.94
1;0.6731171219152886;0.3644975369617818;rand;best;hor-slice;978.9
1;0.6731171219152886;0.3644975369617818;rand;best;hor-slice;933.25
1;0.6731171219152886;0.3644975369617818;rand;best;hor-slice;998.45
1;0.6731171219152886;0.3644975369617818;rand;best;hor-slice;948.87
1;0.6731171219152886;0.3644975369617818;rand;best;hor-slice;997.4
1;0.6731171219152886;0.3644975369617818;rand;best;hor-slice;997.97
1;0.6731171219152886;0.3644975369617818;rand;best;hor-slice;937.62
1;0.6731171219152886;0.3644975369617818;rand;best;hor-slice;925.23
1;0.6731171219152886;0.3644975369617818;rand;best;hor-slice;989.15
1;0.6731171219152886;0.3644975369617818;rand;best;hor-slice;996.41
1;0.6731171219152886;0.3644975369617818;rand;best;hor-slice;942.54
1;0.6731171219152886;0.3644975369617818;rand;best;hor-slice;950.54
1;0.6731171219152886;0.3644975369617818;rand;best;hor-slice;978.89
1;0.6731171219152886;0.3644975369617818;rand;best;hor-slice;970.95
1;0.6731171219152886;0.3644975369617818;rand;best;hor-slice;1001.64
1;0.6731171219152886;0.3644975369617818;rand;best;hor-slice;920.99
1;0.6731171219152886;0.3644975369617818;rand;best;hor-slice;940.55
1;0.6731171219152886;0.3644975369617818;rand;best;hor-slice;955.8
1;0.6731171219152886;0.3644975369617818;rand;best;hor-slice;977.23
1;0.6731171219152886;0.3644975369617818;rand;best;hor-slice;908.47
1;0.5218804726414918;0.48508538304511206;rand;best;vert-slice;963.11
1;0.5218804726414918;0.48508538304511206;rand;best;vert-slice;992.51
1;0.5218804726414918;0.48508538304511206;rand;best;vert-slice;981.1
1;0.5218804726414918;0.48508538304511206;rand;best;vert-slice;980.34
1;0.5218804726414918;0.48508538304511206;rand;best;vert-slice;949.3
1;0.5218804726414918;0.48508538304511206;rand;best;vert-slice;979.59
1;0.5218804726414918;0.48508538304511206;rand;best;vert-slice;962.85
1;0.5218804726414918;0.48508538304511206;rand;best;vert-slice;958.08
1;0.5218804726414918;0.48508538304511206;rand;best;vert-slice;992.31
1;0.5218804726414918;0.48508538304511206;rand;best;vert-slice;919.81
1;0.5218804726414918;0.48508538304511206;rand;best;vert-slice;990.45
1;0.5218804726414918;0.48508538304511206;rand;best;vert-slice;943.87
1;0.5218804726414918;0.48508538304511206;rand;best;vert-slice;962.38
1;0.5218804726414918;0.48508538304511206;rand;best;vert-slice;971.15
1;0.5218804726414918;0.48508538304511206;rand;best;vert-slice;976.28
1;0.5218804726414918;0.48508538304511206;rand;best;vert-slice;923.68
1;0.5218804726414918;0.48508538304511206;rand;best;vert-slice;900.33
1;0.5218804726414918;0.48508538304511206;rand;best;vert-slice;969.12
1;0.5218804726414918;0.48508538304511206;rand;best;vert-slice;970.0
1;0.5218804726414918;0.48508538304511206;rand;best;vert-slice;1042.21
1;0.5218804726414918;0.48508538304511206;rand;best;vert-slice;954.69
1;0.5218804726414918;0.48508538304511206;rand;best;vert-slice;977.58
1;0.5218804726414918;0.48508538304511206;rand;best;vert-slice;1027.03
1;0.5218804726414918;0.48508538304511206;rand;best;vert-slice;967.73
1;0.5218804726414918;0.48508538304511206;rand;best;vert-slice;970.82
1;0.5218804726414918;0.48508538304511206;rand;best;vert-slice;921.74
1;0.5218804726414918;0.48508538304511206;rand;best;vert-slice;950.61
1;0.5218804726414918;0.48508538304511206;rand;best;vert-slice;980.05
1;0.5218804726414918;0.48508538304511206;rand;best;vert-slice;1030.23
1;0.5218804726414918;0.48508538304511206;rand;best;vert-slice;965.51
18;0.33128238455282966;0.43144503435637416;exp;tourny;avg;806.17
18;0.33128238455282966;0.43144503435637416;exp;tourny;avg;807.23
18;0.33128238455282966;0.43144503435637416;exp;tourny;avg;799.09
18;0.33128238455282966;0.43144503435637416;exp;tourny;avg;789.45
18;0.33128238455282966;0.43144503435637416;exp;tourny;avg;817.47
18;0.33128238455282966;0.43144503435637416;exp;tourny;avg;829.22
18;0.33128238455282966;0.43144503435637416;exp;tourny;avg;811.66
18;0.33128238455282966;0.43144503435637416;exp;tourny;avg;822.04
18;0.33128238455282966;0.43144503435637416;exp;tourny;avg;776.03
18;0.33128238455282966;0.43144503435637416;exp;tourny;avg;812.87
18;0.33128238455282966;0.43144503435637416;exp;tourny;avg;798.81
18;0.33128238455282966;0.43144503435637416;exp;tourny;avg;778.66
18;0.33128238455282966;0.43144503435637416;exp;tourny;avg;797.83
18;0.33128238455282966;0.43144503435637416;exp;tourny;avg;806.36
18;0.33128238455282966;0.43144503435637416;exp;tourny;avg;821.22
18;0.33128238455282966;0.43144503435637416;exp;tourny;avg;792.95
18;0.33128238455282966;0.43144503435637416;exp;tourny;avg;773.09
18;0.33128238455282966;0.43144503435637416;exp;tourny;avg;781.2
18;0.33128238455282966;0.43144503435637416;exp;tourny;avg;779.3
18;0.33128238455282966;0.43144503435637416;exp;tourny;avg;814.52
18;0.33128238455282966;0.43144503435637416;exp;tourny;avg;817.97
18;0.33128238455282966;0.43144503435637416;exp;tourny;avg;787.4
18;0.33128238455282966;0.43144503435637416;exp;tourny;avg;804.66
18;0.33128238455282966;0.43144503435637416;exp;tourny;avg;791.79
